书名,作者,译者,出版单位,出版时间,定价,豆瓣评分,评价人数,短评
野火集,龙应台 ,, 文汇出版社 , 2005-8 , 25.00元,8.8,30853人评价,中国人，你为什么不生气
小径分岔的花园,[阿根廷] 博尔赫斯 , 王永年 , 上海译文出版社 , 2015-7 , 23.00,8.9,18282人评价,一个谜语，谜底正是时间
亮剑,都梁 ,, 解放军文艺出版社 , 2005-3 , 28.00元,8.9,20929人评价,面对强大的对手，明知不敌，也要毅然亮剑
四世同堂,老舍 ,, 北京十月文艺出版社 , 2008-07 , 36.00元,9.3,17190人评价,北平沦陷时代广大平民的悲惨遭遇
面纱,(英)W.萨默塞特·毛姆 , 阮景林 , 重庆 , 2012-05-01 , 32.00元,8.7,44465人评价,揭去生活的面纱
目送,龙应台 ,, 生活·读书·新知三联书店 , 2009-10 , 39.00元,8.6,188776人评价,不必追
银河系漫游指南,[英] 道格拉斯·亚当斯 , 徐百柯 , 四川科学技术出版社 , 2005-6 , 16.00元,8.8,18179人评价,一场穿越银河的冒险
亲爱的安德烈,龙应台 ,, 人民文学出版社 , 2008-12 , 26.00,8.6,105340人评价,弭平代沟，跨越文化阻隔
古文观止,吴楚材 ,, 中华书局 , 1987-1-1 , 21.00元,9.1,14434人评价,收录自先秦至明末的散文二百二十二篇
温柔的夜,三毛 ,, 北京十月文艺出版社 , 2007-5 , 28.00元,9.1,16346人评价,三毛在加纳利群岛的生活
我的阿勒泰,李娟 ,, 云南人民出版社 , 2010-7-1 , 22.00元,8.8,18815人评价,描写疆北阿勒泰地区生活和风情的原生态散文集
麦琪的礼物,[美] 欧·亨利 , 张经浩 , 上海社会科学院出版社 , 2003-7 , 25.00元,8.6,60189人评价,日常的奇迹
解忧杂货店,[日] 东野圭吾 , 李盈春 , 南海出版公司 , 2014-5 , 39.50元,8.5,655106人评价,现代人内心流失的东西，这家杂货店能帮你找回
故事,[美] 罗伯特·麦基 , 周铁东 , 天津人民出版社 , 2014-9-1 , 68.00元,9.2,11222人评价,材质、结构、风格和银幕剧作的原理
激荡三十年,吴晓波 ,, 中信出版社 , 2008-7-1 , 32.00元,8.6,11433人评价,中国企业1978—2008
受戒,汪曾祺 ,, 漓江出版社 , 1987-10 , 3.95元,9.3,13771人评价,江南乡镇民间生活，健康淳朴的人性
尼罗河上的惨案,[英] 阿加莎·克里斯蒂 , 宫英海 , 人民文学出版社 , 2006-5 , 22.00元,8.7,37468人评价,阿加莎·克里斯蒂代表作
阿勒泰的角落,李娟 ,, 万卷出版公司 , 2010-6 , 25.00元,9.1,12258人评价,白雪和阳光，青草和白桦林
霸王别姬,李碧华 ,, 人民文学出版社 , 1999-1 , 10.20元,9.1,14251人评价,人间，只是抹去了脂粉的脸
渴望生活,[美] 欧文·斯通 , 常涛 , 北京十月文艺出版社 , 2008-4 , 29.80元,9.2,9525人评价,梵高悲惨而成就辉煌的人生
半生缘,张爱玲 ,, 北京十月文艺出版社 , 2006-12 , 28.00元,8.6,71708人评价,世钧，我们回不去了
罗生门,[日]芥川龙之介 , 林少华 , 上海译文出版社 , 2008-7 , 12.00元,8.7,50092人评价,人生，远比地狱更像地狱
德米安,[德] 赫尔曼·黑塞 , 丁君君 , 上海人民出版社 , 2009-3 , 25.00元,9.0,17127人评价,少年辛克莱寻找通向自身之路的艰辛历程
社会心理学,[美] 戴维·迈尔斯 , 张智勇 , 人民邮电出版社 , 2006-1 , 68.00元,9.0,18694人评价,人们是如何思索、影响他人并与他人建立联系的
我不知道该说什么，关于死亡还是爱情,S.A.阿列克谢耶维奇 ,, 方祖芳 , 花城出版社,,9.0,14748人评价,真实记录切尔诺贝利核灾难事件
枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德 , 谢延光 , 上海世纪出版集团 , 2006-4-1 , 45.00元,8.7,33893人评价,人类社会的命运
棋王,阿城 ,, 作家出版社 , 1999-10 , 13.00,8.8,22884人评价,我从未真正见过火，也未见过毁灭，更不知新生
天朝的崩溃,茅海建 ,, 生活·读书·新知三联书店 , 2005-7 , 32.00元,9.1,11210人评价,鸦片战争再研究
失明症漫记,(葡)若泽·萨拉马戈 , 范维信 , 南海出版公司 , 2014-2 , 29.50,9.1,13366人评价,失明症迅速蔓延，整个城市陷入一场空前的灾难
万物有灵且美,[英] 吉米·哈利 , 种衍伦 , 中国城市出版社 , 2010-1 , 28.80,8.8,18690人评价,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事
罪与罚,[俄] 陀思妥耶夫斯基 , 岳麟 , 上海译文出版社 , 2006-8 , 23.00元,9.1,13840人评价,描绘人内心的全部深度
最好的我们,八月长安 ,, 湖南文艺出版社 , 2013-8-5 , 55,8.7,58083人评价,耿耿余淮
